,Temperature (C)
Temperature (C),1.0
Apparent Temperature (C),0.9926285641921462
Temp_Diff,0.6352853451322407
Visibility (km),0.39284657172418636
Month,0.14857597418899898
Hour,0.09954044562742763
Wind Bearing (degrees),0.029988204473573418
Year,0.01746211081417608
Wind Speed (km/h),0.008956968343701133
Pressure (millibars),-0.005447106151952262
is_Rainy,-0.005477289454491066
Humidity,-0.6322546750278083
Loud Cover,
